BAJAJ,CT100
BAJAJ,PLATINA
BAJAJ,PLATINA 110
BAJAJ,DISCOVER 110
BAJAJ,DISCOVER 125
BAJAJ,DISCOVER 135
BAJAJ,DISCOVER 150
BAJAJ,PULSAR 135
BAJAJ,PULSAR 150
BAJAJ,V 15
BAJAJ,PULSAR NS160
BAJAJ,PULSAR 180
BAJAJ,PULSAR 180F
BAJAJ,AVENGER STREET 180
BAJAJ,AVENGER STREET 220
BAJAJ,AVENGER CRUISE 220
BAJAJ,PULSAR 220F
BAJAJ,PULSAR NS200
BAJAJ,PULSAR RS200
BAJAJ,DOMINAR 400
BAJAJ,V 12
BAJAJ,PULSAR 200
BAJAJ,PULSAR AS200
BAJAJ,PULSAR AS150
BAJAJ,CHETAK
BAJAJ,WAVE
BAJAJ,AVENGER 200
BAJAJ,AVENGER 220
BAJAJ,AVENGER STREET 150
BAJAJ,4S CHAMPION
BAJAJ,ASPIRE
BAJAJ,BYK
BAJAJ,CALIBER
BAJAJ,ELIMINATOR
BAJAJ,WIND
BAJAJ,XCD 125
BAJAJ,XCD 135
BAJAJ,BOXER
BAJAJ,BOXER150
BAJAJ,AVENGER 180
BAJAJ,DISCOVER 100
BAJAJ,BLADE
BAJAJ,BRACO
BAJAJ,KRYSTAL
BAJAJ,SPIRIT
HERO,ACHIEVER
HERO,AMBITION
HERO,CBZ
HERO,CBZ STAR
HERO,CBZ XTREME
HERO,CD100
HERO,CD100 SS
HERO,CD-DAWN
HERO,CD- DELUXE
HERO,GLAMOUR
HERO,GLAMOUR FI
HERO,GLAMOUR I3S
HERO,GLAMOUR PGM FI
HERO,HF- DAWN
HERO,HF- DELUXE
HERO,HF- DELUXE ECO
HERO,HF- DELUXE I3S
HERO,HUNK
HERO,IGNITOR
HERO,IMPULSE
HERO,KARIZMA
HERO,KARIZMA R
HERO,KARIZMA ZMR
HERO,PASSION
HERO,PASSION PLUS
HERO,PASSION PRO
HERO,PASSION XPRO
HERO,PASSION PRO TR
HERO,PASSION PRO I3S
HERO,SPLENDOR
HERO,SPLENDOR ISMART 100
HERO,SPLENDOR NXG
HERO,SPLENDOR PLUS
HERO,SPLENDOR PRO
HERO,SPLENDOR PRO CLASSIC
HERO,SUPER SPLENDOR
HERO,XTREME
HERO,XTREME 200R
HERO,XTREME SPORTS
HERO,MAESTRO
HERO,PLEASURE
HERO,DUET
HERO,MAESTRO EDGE
HERO,DESTINI 125
HERO,SPLENDOR ISMART 110
HONDA,AFRICA TWIN
HONDA,CB1000R
HONDA,CB HORNET 160R
HONDA,CB SHINE
HONDA,CB SHINE SP
HONDA,CB TRIGGER
HONDA,CB TWISTER
HONDA,CB UNICORN
HONDA,CB UNICORN 160
HONDA,DAZZLER
HONDA,CBF STUNNER
HONDA,CBR 1000RR
HONDA,CBR 150R
HONDA,CBR 250R
HONDA,CBR 400RR
HONDA,CBR 600RR
HONDA,CBR 1000RR FIREBLADE
HONDA,CBR 650F
HONDA,CD DREAM 110
HONDA,CD DREAM NEO
HONDA,CD DREAM YUGA
HONDA,GOLDWING GI 1800
HONDA,LIVO
HONDA,MINI STREET XTREME
HONDA,VFR 1200F
HONDA,VT 1300CX
HONDA,X-BLADE
HONDA,ACTIVA
HONDA,ACTIVA 3G
HONDA,ACTIVA I
HONDA,AVIATOR
HONDA,DIO
HONDA,ETERNO
HONDA,NAVI
HONDA,ACTIVA 125
HONDA,ACTIVA 4G
HONDA,CLIQ
HONDA,GRAZIA
HONDA,ACTIVA 5G
HONDA,ZOOM ZX
HONDA,KINETIC HONDA
TVS,APACHE
TVS,APACHE 310RR
TVS,APACHE 160RTR
TVS,APACHE 180RTR
TVS,APACHE 200RTR
TVS,CENTRA
TVS,FIERO
TVS,FLAME
TVS,JIVE
TVS,MAX 4R
TVS,PHOENIX
TVS,RADEON
TVS,SPORT
TVS,STAR
TVS,STAR CITY
TVS,STAR CITY PLUS
TVS,STAR DELUXE
TVS,STAR SPORT
TVS,VICTOR
TVS,VICTOR GLX
TVS,JUPITER GRANDE
TVS,NTORQ 125
TVS,SCOOTY ES
TVS,SCOOTY PEP
TVS,SCOOTY PEP+
TVS,SCOOTY STREAK
TVS,SCOOTY TEENZ
TVS,SCOOTY ZEST
TVS,WEGO
TVS,XL
TVS,XL SUPER
TVS,JUPITER
YAMAHA,ALBA
YAMAHA,CRUX
YAMAHA,ENTICER
YAMAHA,FAZER
YAMAHA,FAZER 125
YAMAHA,FAZER FI V2.0
YAMAHA,FZ
YAMAHA,FZ-S
YAMAHA,FZ-S V2.0
YAMAHA,FZ-S V3.0
YAMAHA,FZ-1
YAMAHA,FZ-16
YAMAHA,FZ-25
YAMAHA,GLADIATOR
YAMAHA,LIBERO G5
YAMAHA,MT-09
YAMAHA,RX135
YAMAHA,RX100
YAMAHA,RXG
YAMAHA,RXZ
YAMAHA,RX KING
YAMAHA,RX135 5-SPEED
YAMAHA,RXZ 5-SPEED
YAMAHA,SALUTO
YAMAHA,SALUTO RX
YAMAHA,SS 125
YAMAHA,SZ
YAMAHA,SZ-RR V2.0
YAMAHA,SZ-RR
YAMAHA,SZ-S
YAMAHA,SZ-R
YAMAHA,SZ-X
YAMAHA,V-MAX
YAMAHA,YBR
YAMAHA,YZF R6
YAMAHA,YZF R1
YAMAHA,YZF R15
YAMAHA,YZF R15 V2.0
YAMAHA,YZF R15 S
YAMAHA,YZF R15 V3.0
YAMAHA,YZF R1 M
YAMAHA,YZF R3
YAMAHA,ALPHA
YAMAHA,FASCINO
YAMAHA,RAY
YAMAHA,RAY ZR
YAMAHA,RAY Z
SUZUKI,BANDIT
SUZUKI,FIERO
SUZUKI,GIXXER
SUZUKI,GIXXER SF
SUZUKI,GIXXER SF FI
SUZUKI,GS 150R
SUZUKI,GSX 1000R
SUZUKI,GSX 1000S
SUZUKI,GSX 750S
SUZUKI,GSX S 1000F
SUZUKI,HAYABUSA
SUZUKI,HAYATE
SUZUKI,HAYATE EP
SUZUKI,HEAT
SUZUKI,INAZUMA
SUZUKI,INTRUDER 150
SUZUKI,INTRUDER M1800R
SUZUKI,INTRUDER 800M
SUZUKI,INTRUDER SP
SUZUKI,RM Z250
SUZUKI,RM Z450
SUZUKI,SLINGSHOT PLUS
SUZUKI,V-STROM
SUZUKI,ZEUS
SUZUKI,SHOGUN
SUZUKI,SHAOLIN
SUZUKI,SAMURAI
SUZUKI,SUPRA
SUZUKI,ACCESS
SUZUKI,BURGMAN STREET
SUZUKI,LET'S
SUZUKI,SWISH
MAHINDRA,CENTURO
MAHINDRA,PANTERO
MAHINDRA,STALLIO
MAHINDRA,MOJO
MAHINDRA,MOJO UT300
MAHINDRA,DURO
MAHINDRA,DURO DZ
MAHINDRA,FLYTE
MAHINDRA,GUSTO
MAHINDRA,KINE
MAHINDRA,RODEO
MAHINDRA,GUSTO 125
PIAGGIO,VESPA
PIAGGIO,VESPA ELEGANTE
PIAGGIO,VESPA LX
PIAGGIO,VESPA NOTTE
PIAGGIO,VESPA RED
PIAGGIO,VESPA S
PIAGGIO,VESPA SXL
PIAGGIO,VESPA VX
PIAGGIO,VESPA VXL
APRILIA,SR 125
APRILIA,SR 150
APRILIA,SR 850 ABS ATC
APRILIA,SHIVER 900
APRILIA,DORSODURA
APRILIA,TUONO 1100
APRILIA,RSV4 RR
APRILIA,RSV4 RF
ROYAL ENFIELD,BULLET
ROYAL ENFIELD,BULLET ELECTRA
ROYAL ENFIELD,BULLET ELECTRA TWINSPARK
ROYAL ENFIELD,BULLET TWINSPARK
ROYAL ENFIELD,CLASSIC 350
ROYAL ENFIELD,CLASSIC 500
ROYAL ENFIELD,CLASSIC CHROME
ROYAL ENFIELD,CLASSIC DESERT STORM
ROYAL ENFIELD,CLASSIC GUNMETAL GREY
ROYAL ENFIELD,CLASSIC STEALTH BLACK
ROYAL ENFIELD,CONTINENTAL GT
ROYAL ENFIELD,CONTINENTAL GT TWIN
ROYAL ENFIELD,HIMALAYAN
ROYAL ENFIELD,INTERCEPTOR
ROYAL ENFIELD,LIGHTNING 535
ROYAL ENFIELD,MACHISMO
ROYAL ENFIELD,SQUADRON BLUE
ROYAL ENFIELD,STANDARD
ROYAL ENFIELD,THUNDERBIRD 350
ROYAL ENFIELD,THUNDERBIRD 500
ROYAL ENFIELD,THUNDERBIRD X
KTM,DUKE 125
KTM,DUKE 200
KTM,RC200
KTM,250 DUKE
KTM,RC390
KTM,DUKE 390
KAWASAKI,NINJA 300
KAWASAKI,KLX 110
KAWASAKI,Z250
KAWASAKI,KLX 140G
KAWASAKI,NINJA 400
KAWASAKI,VERSYS X-300
KAWASAKI,KX 100F
KAWASAKI,Z650
KAWASAKI,VULCAN S
KAWASAKI,NINJA 650
KAWASAKI,VERSYS 650
KAWASAKI,KX 250F
KAWASAKI,Z900KLX450R
KAWASAKI,NINJA 100NINJA ZX-6R
KAWASAKI,NINJA ZX-10R
KAWASAKI,Z1000
KAWASAKI,Z900 RS
KAWASAKI,NINJA ZX-10RR
KAWASAKI,NINJA ZX14R
KAWASAKI,NINJA H2
KAWASAKI,KB 100
KAWASAKI,CHALLENGER
JAWA,FORTY TWO
JAWA,STANDARD
BMW,G 310 R
BMW,G310GS
BMW,F750GS
BMW,F850GS
BMW,R1200 R 
BMW,R NINE T SCRAMBLER
BMW,R 1200 RS
BMW,R 1200 GS
BMW,S 1000 R
BMW,R NINET RACER
BMW,R 1250 GS
BMW,R1200 GS ADVENTURE
BMW,R NINET
BMW,S 100 XR
BMW,S1000 RR
BMW,R1200 RT
BMW,R1250 GS ADVENTURE
BMW,K1600 B
BMW,K1600GTL
HERO ELECTRIC,FLASH
HERO ELECTRIC,NYX
HERO ELECTRIC,OPTIMA
HERO ELECTRIC,PHOTON
HARLEY DAVIDSON,STREET 750
HARLEY DAVIDSON,STREET ROD
HARLEY DAVIDSON,IRON 883
HARLEY DAVIDSON,1200 CUSTOM
HARLEY DAVIDSON,FORTY EIGHT
HARLEY DAVIDSON,ROADSTER
HARLEY DAVIDSON,STREET BOB
HARLEY DAVIDSON,LOW RIDER
HARLEY DAVIDSON,FAT BOB
HARLEY DAVIDSON,FAT BOY
HARLEY DAVIDSON,DELUXE
HARLEY DAVIDSON,FAT BOY 114
HARLEY DAVIDSON,HERITAGE CLASSIC
HARLEY DAVIDSON,ROAD KING
HARLEY DAVIDSON,STREET GLIDE SPECIAL
HARLEY DAVIDSON,ROAD GLIDE SPECIAL
HARLEY DAVIDSON,CVO LIMITED
DUCATI,SCRAMBLER ICON
DUCATI,MONSTER 797
DUCATI,MONSTER 821
DUCATI,SCRAMBLER 1100
DUCATI,HYPERMOTARD 939
DUCATI,SUPER SPORT
DUCATI,HYPERSTRADA
DUCATI,MULTISTRADA
DUCATI,PANIGALE
DUCATI,DIAVEL
TRIUMPH,STREET TWIN
TRIUMPH,SCRAMBLER
TRIUMPH,BONNEVILLE 
TRIUMPH,STREET TRIPLE
TRIUMPH,TIGER
TRIUMPH,THRUXTON
TRIUMPH,THUNDERBIRD STORM
TRIUMPH,ROCKET 3 ROADSTER
UM,RENEGADE SPORTS S
UM,RENEGADE COMMONDO
UM,RENEGADE MOJAVE
UM,RENAGADE CLASSIC
BENELLI,TNT 300
BENELLI,302R
BENELLI,TNT600I
BENELLI,TNT250
HYOSUNG,AQUILA GV 250
HYOSUNG,GT 250R
HYOSUNG,GT 650R
HYOSUNG,AQUILA PRO650
INDIAN,SCOUT SIXTY
INDIAN,SCOUT BOBBER
INDIAN,SCOUT
INDIAN,FTR 1200
INDIAN,CHIEF DARK HORSE
INDIAN,CHIEF CLASSIC
INDIAN,CHIEF VINTAGE
INDIAN,CHIEFTAIN DARK HOUSE
INDIAN,CHIEFTAIN
INDIAN,SPRINGFILED
INDIAN,CHIEFTAIN ELITE
INDIAN,ROADMASTER CLASSIC
INDIAN,ROADMASTER
